Disturbance_Type,Disturbance_Number,Transect_Number,Disturbance_Distance,Bracken_stands,Percentage_Cover,Species_Richness,Invasiveness
Road,1,1,0,0,0,4,N
Road,1,1,5,0,0,3,N
Road,1,1,10,0,0,3,N
Road,1,1,15,1,15,3,N
Road,1,1,20,2,25,2,N
Road,1,2,0,0,0,2,N
Road,1,2,5,0,0,2,N
Road,1,2,10,1,10,3,N
Road,1,2,15,3,25,3,N
Road,1,2,20,0,0,2,N
Road,1,3,0,0,0,4,N
Road,1,3,5,1,1,4,N
Road,1,3,10,0,0,1,N
Road,1,3,15,3,30,3,N
Road,1,3,20,0,0,2,N
Road,1,4,0,0,0,4,N
Road,1,4,5,7,75,4,Y
Road,1,4,10,0,0,2,N
Road,1,4,15,4,35,3,N
Road,1,4,20,6,55,3,Y
Road,1,5,0,0,0,4,N
Road,1,5,5,0,0,3,N
Road,1,5,10,4,30,2,N
Road,1,5,15,6,45,2,N
Road,1,5,20,2,20,3,N
Road,1,6,0,0,0,3,N
Road,1,6,5,8,75,2,Y
Road,1,6,10,6,60,4,Y
Road,1,6,15,8,85,3,Y
Road,1,6,20,0,0,3,N
Road,2,1,0,1,10,3,N
Road,2,1,5,0,0,3,N
Road,2,1,10,0,0,3,N
Road,2,1,15,0,0,3,N
Road,2,1,20,0,0,3,N
Road,2,2,0,11,90,3,Y
Road,2,2,5,1,10,4,N
Road,2,2,10,0,0,2,N
Road,2,2,15,0,0,2,N
Road,2,2,20,0,0,2,N
Road,2,3,0,8,85,3,Y
Road,2,3,5,5,40,4,N
Road,2,3,10,4,55,3,Y
Road,2,3,15,6,70,3,Y
Road,2,3,20,5,65,3,Y
Road,2,4,0,10,95,2,Y
Road,2,4,5,8,80,3,Y
Road,2,4,10,9,97,2,Y
Road,2,4,15,9,90,2,Y
Road,2,4,20,11,95,3,Y
Road,2,5,0,10,75,3,Y
Road,2,5,5,8,80,2,Y
Road,2,5,10,8,70,3,Y
Road,2,5,15,9,80,2,Y
Road,2,5,20,7,75,2,Y
Road,2,6,0,5,60,2,Y
Road,2,6,5,7,70,3,Y
Road,2,6,10,8,80,3,Y
Road,2,6,15,9,90,4,Y
Road,2,6,20,9,90,2,Y
Road,3,1,0,0,0,5,N
Road,3,1,5,0,0,4,N
Road,3,1,10,0,0,5,N
Road,3,1,15,0,0,6,N
Road,3,1,20,0,0,4,N
Road,3,2,0,0,0,4,N
Road,3,2,5,0,5,4,N
Road,3,2,10,0,0,6,N
Road,3,2,15,0,0,7,N
Road,3,2,20,0,0,5,N
Road,3,3,0,0,0,6,N
Road,3,3,5,5,55,5,Y
Road,3,3,10,0,0,4,N
Road,3,3,15,0,0,3,N
Road,3,3,20,0,0,3,N
Road,3,4,0,0,0,3,N
Road,3,4,5,9,85,6,Y
Road,3,4,10,0,0,5,N
Road,3,4,15,0,0,6,N
Road,3,4,20,0,0,4,N
Road,3,5,0,0,0,3,N
Road,3,5,5,11,95,2,Y
Road,3,5,10,3,35,3,N
Road,3,5,15,0,0,5,N
Road,3,5,20,0,0,5,N
Road,3,6,0,0,0,3,N
Road,3,6,5,10,95,2,Y
Road,3,6,10,13,95,2,Y
Road,3,6,15,5,40,4,N
Road,3,6,20,0,0,4,N
Footpath,1,1,0,1,5,8,N
Footpath,1,1,5,1,2,9,N
Footpath,1,1,10,0,0,8,N
Footpath,1,1,15,0,0,6,N
Footpath,1,1,20,1,7,9,N
Footpath,1,2,0,0,0,5,N
Footpath,1,2,5,1,16,9,N
Footpath,1,2,10,0,0,5,N
Footpath,1,2,15,2,34,8,N
Footpath,1,2,20,1,11,6,N
Footpath,1,3,0,1,6,6,N
Footpath,1,3,5,0,0,9,N
Footpath,1,3,10,0,0,10,N
Footpath,1,3,15,0,0,6,N
Footpath,1,3,20,7,82,4,Y
Footpath,1,4,0,0,0,7,N
Footpath,1,4,5,0,0,4,N
Footpath,1,4,10,0,0,5,N
Footpath,1,4,15,0,0,4,N
Footpath,1,4,20,1,3,5,N
Footpath,1,5,0,0,0,6,N
Footpath,1,5,5,0,0,4,N
Footpath,1,5,10,1,4,5,N
Footpath,1,5,15,0,0,5,N
Footpath,1,5,20,0,0,4,N
Footpath,1,6,0,0,0,6,N
Footpath,1,6,5,0,0,3,N
Footpath,1,6,10,0,0,5,N
Footpath,1,6,15,0,0,6,N
Footpath,1,6,20,1,8,4,N
Footpath,2,1,0,6,75,3,Y
Footpath,2,1,5,1,8,7,N
Footpath,2,1,10,1,3,8,N
Footpath,2,1,15,3,20,6,N
Footpath,2,1,20,1,5,8,N
Footpath,2,2,0,0,0,6,N
Footpath,2,2,5,2,18,8,N
Footpath,2,2,10,4,40,7,N
Footpath,2,2,15,0,0,7,N
Footpath,2,2,20,0,0,8,N
Footpath,2,3,0,0,0,9,N
Footpath,2,3,5,1,4,9,N
Footpath,2,3,10,0,0,5,N
Footpath,2,3,15,0,0,7,N
Footpath,2,3,20,2,15,8,N
Footpath,2,4,0,0,0,7,N
Footpath,2,4,5,6,53,7,Y
Footpath,2,4,10,0,0,6,N
Footpath,2,4,15,0,0,10,N
Footpath,2,4,20,0,0,6,N
Footpath,2,5,0,7,74,4,Y
Footpath,2,5,5,5,68,6,Y
Footpath,2,5,10,0,0,7,N
Footpath,2,5,15,0,0,8,N
Footpath,2,5,20,0,0,7,N
Footpath,2,6,0,2,25,7,N
Footpath,2,6,5,0,0,8,N
Footpath,2,6,10,0,0,6,N
Footpath,2,6,15,8,82,6,Y
Footpath,2,6,20,11,100,5,Y
Footpath,3,1,0,3,26,7,N
Footpath,3,1,5,1,8,7,N
Footpath,3,1,10,1,3,8,N
Footpath,3,1,15,3,20,6,N
Footpath,3,1,20,1,5,8,N
Footpath,3,2,0,2,23,5,N
Footpath,3,2,5,1,6,7,N
Footpath,3,2,10,3,35,7,N
Footpath,3,2,15,0,0,6,N
Footpath,3,2,20,3,27,4,N
Footpath,3,3,0,1,5,8,N
Footpath,3,3,5,4,47,7,N
Footpath,3,3,10,1,5,8,N
Footpath,3,3,15,2,30,5,N
Footpath,3,3,20,0,0,6,N
Footpath,3,4,0,1,10,8,N
Footpath,3,4,5,7,82,4,Y
Footpath,3,4,10,3,33,6,N
Footpath,3,4,15,8,95,2,Y
Footpath,3,4,20,0,0,7,N
Footpath,3,5,0,2,15,7,N
Footpath,3,5,5,3,30,7,N
Footpath,3,5,10,2,26,8,N
Footpath,3,5,15,0,0,4,N
Footpath,3,5,20,0,0,6,N
Footpath,3,6,0,0,0,9,N
Footpath,3,6,5,0,0,8,N
Footpath,3,6,10,0,0,6,N
Footpath,3,6,15,0,0,7,N
Footpath,3,6,20,3,18,6,N